date,open,close,low,high,volume
2010-02-23,110.86,85.315317831836,109.52,111.2,206922860.0
2010-02-24,110.14,86.1000229680727,109.86,111.0,176170766.0
2010-02-25,109.24,85.9834826013049,108.94,110.75,259023227.0
2010-02-26,110.77,86.0378681057966,110.11,111.12,173425228.0
2010-03-01,111.2,86.9313442510166,111.17,112.0,147507319.0
2010-03-02,112.37,87.1721943423368,112.0,112.74,160920705.0
2010-03-03,112.49,87.249887920182,112.02,112.97,150552463.0
2010-03-04,112.45,87.5140460848557,112.03,112.8,135526954.0
2010-03-05,113.37,88.7649126881638,113.1,114.34,176047042.0
2010-03-08,114.26,88.7804514037328,114.07,114.52,114525089.0
2010-03-09,113.93,88.9280692016387,113.87,114.99,154378793.0
2010-03-10,114.51,89.3243064486494,114.41,115.28,185854165.0
2010-03-11,114.7,89.6972356223064,114.35,115.48,160381449.0
2010-03-12,115.95,89.7050049800909,115.14,115.97,161925254.0
2010-03-15,115.26,89.7283130534445,114.6,115.57,146532076.0
2010-03-16,115.81,90.4430939696205,115.49,116.52,168561421.0
2010-03-17,116.76,90.9791796567525,116.42,117.48,177203017.0
2010-03-18,117.11,90.9325635100454,116.57,117.27,170817.0
2010-03-19,115.97,90.4744666363544,115.52,117.29,226519190.0
2010-03-22,115.31,90.9581621551484,115.24,116.8,184083906.0
2010-03-23,116.76,91.5978884864566,116.38,117.51,182625254.0
2010-03-24,116.97,91.1532006707912,115.58,117.43,196061714.0
2010-03-25,117.63,91.0049713989027,116.51,118.17,223197727.0
2010-03-26,116.87,90.9503606145227,116.12,117.42,205625701.0
2010-03-29,117.17,91.5276746208252,116.69,117.53,134431758.0
2010-03-30,117.46,91.5900869458309,116.91,117.83,145681592.0
2010-03-31,116.95,91.2780253208025,116.61,117.52,160932206.0
2010-04-01,117.8,91.9021485708593,117.1,118.25,161083608.0
2010-04-05,118.25,92.6510964709274,117.92,118.84,105621743.0
2010-04-06,118.42,92.8695396084473,118.29,119.25,110194919.0
2010-04-07,118.8,92.339034845899,117.81,119.36,184432309.0
2010-04-08,117.95,92.6588980115531,117.6,118.97,158495871.0
2010-04-09,119.02,93.2674181803585,118.8,119.6,132701705.0
2010-04-12,119.7,93.415647452247,119.56,120.05,110200946.0
2010-04-13,119.62,93.4858613178783,119.0,120.04,121901060.0
2010-04-14,120.27,94.5468708429749,120.08,121.19,161608989.0
2010-04-15,120.99,94.624886249232,120.95,121.57,144514805.0
2010-04-16,120.86,93.11918890847,118.75,121.29,366379413.0
2010-04-19,119.01,93.4702582366269,118.47,119.93,217625461.0
2010-04-20,120.56,94.3050230835779,119.87,120.98,157457380.0
2010-04-21,120.95,94.1333891898122,119.99,121.23,192782906.0
2010-04-22,119.81,94.4142446523378,119.12,121.17,239108192.0
2010-04-23,120.94,95.0305663617689,120.63,121.86,177262089.0
2010-04-26,121.85,94.6716954929862,121.23,122.12,143347665.0
2010-04-27,120.65,92.4326533334076,118.25,121.34,355560974.0
2010-04-28,119.05,93.1347919897214,118.27,119.68,300539227.0
2010-04-29,120.1,94.2894200023264,120.07,121.11,193598705.0
2010-04-30,120.88,92.690104174056,118.78,121.01,269859816.0
2010-05-03,119.38,93.8915414304152,119.2,120.68,182672396.0
2010-05-04,119.01,91.6837054333394,116.92,119.03,360072452.0
2010-05-05,116.56,91.1375975895398,115.97,117.8,328745969.0
2010-05-06,116.260002,88.1106013870726,105.0,117.0,647356600.0
2010-05-07,112.64,86.7999410016452,109.41,113.77,636806832.0
2010-05-10,115.81,90.6226959082429,114.91,116.65,395942202.0
2010-05-11,115.07,90.3652450675945,114.91,117.36,314227758.0
2010-05-12,116.29,91.6290946489595,116.09,117.62,235346103.0
2010-05-13,117.13,90.4900697176058,115.89,117.68,234328751.0
2010-05-14,115.12,88.8517461862068,112.87,115.33,345536506.0
2010-05-17,114.2,88.8985554299611,111.77,114.52,325702142.0
2010-05-18,114.88,87.6893166329761,112.03,115.22,360122928.0
2010-05-19,111.77,87.1900180329307,110.36,112.77,394353890.0
2010-05-20,109.38,83.8977678888812,107.47,109.89,529155816.0
2010-05-21,105.91,85.1226097671176,105.36,109.38,500625583.0
2010-05-24,108.52,84.0303940795183,107.61,109.39,269079858.0
2010-05-25,105.11,84.1162110264011,104.38,107.87,395832912.0
2010-05-26,108.48,83.60911088573,106.85,109.47,348931025.0
2010-05-27,109.19,86.4098639703597,108.78,110.8,300394583.0
2010-05-28,110.64,85.3254498233861,108.85,110.72,297534031.0
2010-06-01,108.35,83.8899663482555,107.37,109.95,277410545.0
2010-06-02,108.08,86.0743977234542,107.51,110.34,240010348.0
2010-06-03,110.65,86.3708562672312,109.58,111.06,226453184.0
2010-06-04,108.61,83.3360569638301,106.46,109.33,395563854.0
2010-06-07,107.2,82.2984520606108,105.41,107.61,264299273.0
2010-06-08,105.57,83.180026151316,104.65,106.83,357532564.0
2010-06-09,107.24,82.7353383356505,105.6,108.28,267756304.0
2010-06-10,107.86,85.1538159296205,106.04,109.28,317694394.0
2010-06-11,108.19,85.5672975827831,108.12,109.75,214061156.0
2010-06-14,110.52,85.434671392146,109.4,111.12,206968051.0
2010-06-15,110.28,87.3772550079477,110.09,112.1,237669665.0
2010-06-16,111.42,87.3460488454449,111.2,112.42,216095034.0
2010-06-17,112.28,87.4864765767077,111.05,112.33,263055167.0
2010-06-18,111.83,87.5810936614162,111.37,112.13,173821764.0
2010-06-21,113.12,87.3302572703695,110.79,113.2,212852834.0
2010-06-22,111.41,85.8879480218507,109.41,111.9,239055412.0
2010-06-23,109.64,85.6214343563635,108.48,110.03,254527875.0
2010-06-24,108.69,84.2026410195054,107.14,108.83,268265029.0
2010-06-25,107.74,84.5553796944149,106.77,108.42,237712217.0
2010-06-28,108.03,84.2888660289277,107.14,108.32,168908508.0
2010-06-29,106.02,81.6864384718177,103.55,107.51,373318268.0
2010-06-30,103.92,80.9104133870168,102.88,104.88,283318911.0
2010-07-01,103.15,80.5498360748871,101.13,103.49,382651225.0
2010-07-02,103.11,80.1108723905553,101.62,103.42,233291686.0
2010-07-06,103.64,80.6360610843094,101.88,104.37,255782116.0
2010-07-07,103.13,83.1757795436577,103.02,106.24,253429307.0
2010-07-08,107.0,83.9988364517799,105.91,107.28,210678561.0
2010-07-09,107.13,84.6259274293967,106.93,107.97,144930550.0
2010-07-12,107.6,84.6807978899382,107.15,108.24,130961733.0
2010-07-13,109.15,85.9584957568326,108.93,110.09,212543601.0
2010-07-14,109.31,85.9506571196124,108.86,110.08,184330050.0
2010-07-15,109.61,85.974173031273,108.17,110.06,231681837.0
2010-07-16,109.09,83.6069045907693,106.45,109.21,282607148.0
2010-07-19,107.05,84.1007387356426,106.22,107.63,186394545.0
2010-07-20,105.87,85.0335365648477,105.82,108.56,257880059.0
2010-07-21,109.04,83.928288716798,106.63,109.07,264349757.0
2010-07-22,108.34,85.8017230124284,108.33,109.94,274503131.0
2010-07-23,109.24,86.5463935483484,108.93,110.57,221913150.0
2010-07-26,110.6,87.4478368286727,110.29,111.67,181974164.0
2010-07-27,112.17,87.4399981914524,111.11,112.29,204764961.0
2010-07-28,111.32,86.8756163115973,110.46,111.66,162881260.0
2010-07-29,111.52,86.4523299017059,109.41,111.82,220040677.0
2010-07-30,109.17,86.4366526272655,108.98,110.86,219883424.0
2010-08-02,111.99,88.388473295098,111.54,112.94,188055426.0
2010-08-03,112.48,87.9651868852066,111.85,112.77,146470014.0
2010-08-04,112.53,88.5530846767224,112.16,113.11,157998963.0
2010-08-05,112.25,88.4590210300799,112.08,112.91,140358072.0
2010-08-06,111.74,88.0984437179502,110.92,112.57,239618389.0
2010-08-09,112.92,88.5687619511628,112.32,113.18,120724863.0
